Instance
1
2
3
4
10
11
19
20
21
38
39
56
57
76
77
78
79
94
108
109
110
129
130
143
144
145
164
179
241
245
249
250
251
252
257
264
265
266
267
275
276
277
278
283
284
285
286
297
298
471
476
478
501
502
503
504
505
506
508
509
510
511
514
526
531
539
540
541
567
578
599
602
612
626
627
644
645
650
682
690
691
692
701
702
707
709
711
744
745
754
793
794
795
801
823
824
825
830
831
832
834
835
853
879
936
977
978
979
980
985
986
1002
1014
1015
1016
1017
1018
1019
1020
1029
1030
1052
1058
1059
1060
1061
1064
1065
1066
1074
1087
1088
1089
1095
1096
1099
1102
1111
1115
1116
1117
1125
1126
1127
1133
1160
1192
1193
1194
1200
1203
1234
1250
1328
1329
1334
1342
1350
1372
1479
1480
1486
1487
1505
1506
1517
1618
1619
1629
1648
1662
1668
1670
1678
1699
1700
1701
1702
1704
1706
1711
1712
1713
1756
1766
1767
1818
1823
1824
1837
1843
1844
1845
1889
1903
1944
1964
1990
1991
1996
2002
2003
2008
2009
2010
2011
2015
2016
2017
2018
2041
2042
2043
2056
2067
2071
2078
2133
2162
2163
2182
2193
2195
2201
2216
2217
2218
2219
2221
2222
2232
2245
2254
2255
2282
2286
2287
2294
2295
2296
2298
2299
2312
2318
2322
2323
2324
2328
2339
2354
2375
2389
2390
2391
2392
2399
2404
2438
2439
2440
2443
2460
2483
2484
2485
2486
2487
2488
