Index,Anomaly Type,Instance,Clusters
1,Cluster drift Anomaly,1138,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.018, 'acceleration': 0.164}}"
2,Cluster drift Anomaly,1141,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.211, 'acceleration': 0.095}}"
3,Cluster drift Anomaly,1159,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.119, 'acceleration': 0.099}}"
4,Cluster drift Anomaly,1162,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.02, 'acceleration': 0.048}}"
5,Cluster drift Anomaly,1228,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.01, 'acceleration': 0.123}}"
6,Cluster drift Anomaly,1422,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.097, 'acceleration': 0.129}}"
7,Cluster drift Anomaly,1425,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.271, 'acceleration': 0.083}}"
8,Cluster drift Anomaly,1428,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.048, 'acceleration': 0.075}}"
9,Cluster drift Anomaly,1461,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.13, 'acceleration': 0.136}}"
10,Cluster drift Anomaly,1467,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.257, 'acceleration': 0.155}}"
11,Cluster drift Anomaly,1470,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.02, 'acceleration': 0.082}}"
12,Cluster drift Anomaly,1572,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.011, 'acceleration': 0.139}}"
13,Cluster drift Anomaly,1590,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.156, 'acceleration': 0.086}}"
14,Cluster drift Anomaly,1620,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.187, 'acceleration': 0.171}}"
15,Cluster drift Anomaly,1626,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.119, 'acceleration': 0.093}}"
16,Cluster drift Anomaly,1629,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.012, 'acceleration': 0.087}}"
17,Cluster drift Anomaly,1731,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.35, 'acceleration': 0.137}}"
18,Cluster drift Anomaly,1761,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.095, 'acceleration': 0.131}}"
19,Cluster drift Anomaly,1764,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.01, 'acceleration': 0.05}}"
20,Cluster drift Anomaly,1776,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.047, 'acceleration': 0.066}}"
21,Cluster drift Anomaly,1785,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.006, 'acceleration': 0.079}}"
22,Cluster drift Anomaly,1788,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.053, 'acceleration': 0.083}}"
23,Cluster drift Anomaly,1791,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.138, 'acceleration': 0.056}}"
24,Cluster drift Anomaly,1830,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.019, 'acceleration': 0.133}}"
25,Cluster drift Anomaly,1921,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.085, 'acceleration': 0.109}}"
26,Cluster drift Anomaly,1938,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.101, 'acceleration': 0.125}}"
27,Cluster drift Anomaly,1953,"{2: {'centroid': [-301.775, -549.349, -74.641], 'velocity': 1.168, 'acceleration': 0.102}}"
28,Cluster drift Anomaly,1975,"{0: {'centroid': [103.307, -598.711, -361.494], 'velocity': 1.186, 'acceleration': 0.147}}"
