Index,Anomaly Type,Instance,Clusters
41,Cluster drift Anomaly,1437,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.32, 'acceleration': 0.226}}"
42,Cluster drift Anomaly,1440,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.399, 'acceleration': 0.2}}"
43,Cluster drift Anomaly,1441,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.316, 'acceleration': 0.159}}"
44,Cluster drift Anomaly,1443,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.315, 'acceleration': 0.155}}"
45,Cluster drift Anomaly,1446,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.374, 'acceleration': 0.259}}"
46,Cluster drift Anomaly,1449,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.328, 'acceleration': 0.242}}"
47,Cluster drift Anomaly,1450,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.351, 'acceleration': 0.207}}"
48,Cluster drift Anomaly,1452,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.487, 'acceleration': 0.227}}"
49,Cluster drift Anomaly,1455,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.389, 'acceleration': 0.205}}"
50,Cluster drift Anomaly,1458,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.405, 'acceleration': 0.149}}"
51,Cluster drift Anomaly,1461,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.328, 'acceleration': 0.215}}"
52,Cluster drift Anomaly,1464,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.653, 'acceleration': 0.23}}"
53,Cluster drift Anomaly,1467,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.506, 'acceleration': 0.196}}"
54,Cluster drift Anomaly,1482,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.439, 'acceleration': 0.136}}"
55,Cluster drift Anomaly,1504,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.409, 'acceleration': 0.132}}"
56,Cluster drift Anomaly,1507,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.341, 'acceleration': 0.209}}"
57,Cluster drift Anomaly,1510,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.353, 'acceleration': 0.295}}"
58,Cluster drift Anomaly,1519,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.361, 'acceleration': 0.227}}"
59,Cluster drift Anomaly,1560,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.446, 'acceleration': 0.234}}"
60,Cluster drift Anomaly,1563,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.585, 'acceleration': 0.225}}"
61,Cluster drift Anomaly,1566,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.408, 'acceleration': 0.172}}"
62,Cluster drift Anomaly,1572,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.304, 'acceleration': 0.135}}"
63,Cluster drift Anomaly,1602,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.515, 'acceleration': 0.205}}"
64,Cluster drift Anomaly,1618,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.342, 'acceleration': 0.286}}"
65,Cluster drift Anomaly,1621,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.78, 'acceleration': 0.256}}"
66,Cluster drift Anomaly,1624,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.423, 'acceleration': 0.323}}"
67,Cluster drift Anomaly,1627,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.471, 'acceleration': 0.227}}"
68,Cluster drift Anomaly,1633,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.373, 'acceleration': 0.128}}"
69,Cluster drift Anomaly,1664,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.517, 'acceleration': 0.192}}"
70,Cluster drift Anomaly,1683,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.353, 'acceleration': 0.227}}"
71,Cluster drift Anomaly,1686,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.376, 'acceleration': 0.305}}"
72,Cluster drift Anomaly,1716,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.534, 'acceleration': 0.165}}"
73,Cluster drift Anomaly,1719,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.434, 'acceleration': 0.235}}"
74,Cluster drift Anomaly,1720,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.448, 'acceleration': 0.288}}"
75,Cluster drift Anomaly,1723,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.837, 'acceleration': 0.223}}"
76,Cluster drift Anomaly,1725,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.337, 'acceleration': 0.142}}"
77,Cluster drift Anomaly,1726,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.46, 'acceleration': 0.235}}"
78,Cluster drift Anomaly,1728,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.315, 'acceleration': 0.212}}"
79,Cluster drift Anomaly,1732,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.458, 'acceleration': 0.211}}"
80,Cluster drift Anomaly,1749,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.463, 'acceleration': 0.253}}"
