Index,Anomaly Type,Instance,Clusters
41,Cluster drift Anomaly,1633,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.548, 'acceleration': 0.128}}"
42,Cluster drift Anomaly,1664,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.517, 'acceleration': 0.192}}"
43,Cluster drift Anomaly,1683,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.503, 'acceleration': 0.227}}"
44,Cluster drift Anomaly,1686,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.552, 'acceleration': 0.305}}"
45,Cluster drift Anomaly,1716,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.703, 'acceleration': 0.165}}"
46,Cluster drift Anomaly,1719,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.58, 'acceleration': 0.235}}"
47,Cluster drift Anomaly,1720,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.689, 'acceleration': 0.288}}"
48,Cluster drift Anomaly,1723,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 2.114, 'acceleration': 0.223}}"
49,Cluster drift Anomaly,1726,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.722, 'acceleration': 0.235}}"
50,Cluster drift Anomaly,1732,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.725, 'acceleration': 0.211}}"
51,Cluster drift Anomaly,1749,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.648, 'acceleration': 0.253}}"
52,Cluster drift Anomaly,1840,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.87, 'acceleration': 0.25}}"
53,Cluster drift Anomaly,1917,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.606, 'acceleration': 0.272}}"
54,Cluster drift Anomaly,1945,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.508, 'acceleration': 0.325}}"
55,Cluster drift Anomaly,1956,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.553, 'acceleration': 0.221}}"
56,Cluster drift Anomaly,1957,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.558, 'acceleration': 0.25}}"
57,Cluster drift Anomaly,1959,"{2: {'centroid': [-84.262, -274.993, 157.562, -233.354, -303.156], 'velocity': 1.501, 'acceleration': 0.231}}"
58,Cluster drift Anomaly,1960,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.926, 'acceleration': 0.186}}"
59,Cluster drift Anomaly,1963,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 2.11, 'acceleration': 0.284}}"
60,Cluster drift Anomaly,1975,"{1: {'centroid': [-835.58, -349.61, -517.083, 69.601, 399.757], 'velocity': 1.506, 'acceleration': 0.212}}"
