Index,Anomaly Type,Instance,Clusters
33,Cluster drift Anomaly,1874,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.072, 'acceleration': 0.103}}"
34,Cluster drift Anomaly,1877,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.025, 'acceleration': 0.173}}"
35,Cluster drift Anomaly,1883,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.107, 'acceleration': 0.083}}"
36,Cluster drift Anomaly,1886,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.285, 'acceleration': 0.059}}"
37,Cluster drift Anomaly,1889,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.237, 'acceleration': 0.118}}"
38,Cluster drift Anomaly,1898,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.112, 'acceleration': 0.114}}"
39,Cluster drift Anomaly,1901,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.322, 'acceleration': 0.071}}"
40,Cluster drift Anomaly,1922,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.037, 'acceleration': 0.083}}"
41,Cluster drift Anomaly,1925,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.269, 'acceleration': 0.084}}"
42,Cluster drift Anomaly,1979,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.033, 'acceleration': 0.098}}"
43,Cluster drift Anomaly,1982,"{1: {'centroid': [282.59, 1202.816], 'velocity': 1.218, 'acceleration': 0.077}}"
44,Cluster drift Anomaly,1990,"{0: {'centroid': [-355.874, 442.149], 'velocity': 1.091, 'acceleration': 0.112}}"
